Time [ms],Intensity
1110764,440914
1111178,379158
1111595,271338
1112011,176596
1112426,108460
1112841,77000
1113258,66726
1113673,68513
1114089,71440
1114504,72851
1114920,70021
1115335,61765
1115751,54302
1116167,52889
1116582,60299
1116998,74720
1117414,90757
1117829,102536
1118245,101612
1118659,89281
1119076,70065
1119492,54253
1119907,47023
1120322,48009
1120738,56456
1121154,72200
1121570,98021
1121985,132375
1122401,166319
1122816,191468
1123232,203347
1123648,192136
1124063,160495
1124479,124602
1124894,105402
1125310,110744
1125726,143400
1126140,202415
1126557,282677
1126972,365786
1127388,409547
1127803,390752
1128219,323394
1128635,237988
1129050,167174
1129466,121699
1129882,98308
1130297,83829
1130713,74305
1131128,68911
1131544,68520
1131960,73451
1132375,86202
1132791,110344
1133206,149029
1133621,199450
1134038,247865
1134453,268228
1134869,250102
1135283,204790
1135700,152297
1136116,109335
1136531,82574
1136947,68254
1137362,60910
1137778,56540
1138194,55111
1138609,57123
1139025,64231
1139440,82069
1139856,119694
1140272,188273
1140687,289602
1141103,414071
1141518,513694
1141934,541477
1142350,484888
1142764,367191
1143181,249165
1143596,170606
1144012,130244
1144428,108394
1144843,92313
1145259,79782
1145674,70328
1146090,63170
1146506,58115
1146921,54406
1147337,52746
1147752,53772
1148168,56633
1148584,60513
1148999,66363
1149415,79067
1149830,111654
1150245,174159
1150662,264223
1151077,361529
1151493,420924
1151908,410204
1152324,341817
1152740,251375
1153155,170982
1153571,123639
1153986,104018
1154402,98091
1154818,96800
1155233,92579
1155649,83900
1156063,75230
1156480,67447
1156896,62446
1157311,60070
1157726,62471
1158142,75076
1158558,109704
1158974,183697
1159389,297553
1159805,440380
1160220,541167
1160636,581504
1161052,533975
1161467,416662
1161883,279171
1162298,177717
1162714,126217
1163130,99813
1163544,86993
1163960,78903
1164376,75119
1164792,75539
1165207,81359
1165623,87439
1166039,92902
1166454,94339
1166870,91819
1167286,85000
1167701,75872
1168117,68101
1168532,64030
1168948,62239
1169364,61942
1169779,62217
1170195,62975
1170610,66502
1171025,70652
1171442,75107
1171857,76241
1172273,75220
1172687,75190
1173104,75855
1173520,76185
1173935,73649
1174351,69606
1174766,65912
1175182,63256
1175598,61734
1176013,61531
1176429,64480
1176844,71033
1177260,79761
1177676,88875
1178091,94483
1178507,96019
1178922,93909
1179338,91212
1179754,92687
1180168,96829
1180585,104493
1181000,116021
1181416,129479
1181831,142891
1182247,149938
1182663,144466
1183078,127622
1183494,105454
1183910,85391
1184325,71896
1184741,64794
1185156,63287
1185572,67406
1185988,77862
1186403,93923
1186819,111755
1187234,124711
1187649,126917
1188066,121165
1188481,109570
1188897,97178
1189312,86107
1189728,78654
1190144,77136
1190559,88632
1190975,124627
1191390,208182
1191806,366667
1192222,605050
1192637,900764
1193053,1234710
1193467,1565571
1193884,1852405
1194300,2077341
1194715,2282040
1195130,2439870
1195546,2499759
1195962,2371842
1196378,1665284
1196793,851997
1197209,582698
1197624,544064
1198040,530609
1198456,518385
1198871,478715
1199287,410877
1199702,317953
1200118,225583
1200534,143786
1200949,95975
1201365,70692
1201781,58576
1202197,53217
1202611,51639
1203027,51819
1203444,55096
1203859,62186
1204274,73092
1204690,84319
1205107,94454
1205522,101171
1205937,106449
1206353,108934
1206770,107270
1207185,99720
1207601,88935
1208016,80003
1208432,76223
1208848,76488
1209264,77089
1209680,77439
1210095,78547
1210511,79475
1210927,79221
1211343,75189
1211758,69300
1212174,64260
1212590,63223
1213005,66046
1213421,70489
1213837,77269
1214253,85834
1214668,94835
1215084,103626
1215500,110905
1215916,125154
1216331,158261
1216747,226656
1217163,334442
1217578,467117
1217994,583174
1218410,638373
1218826,611240
1219241,495784
1219657,356825
1220073,245616
1220489,199023
1220904,236111
1221320,370986
1221736,594347
1222150,869533
1222567,1121805
1222983,1243427
1223399,1185199
1223813,932600
1224230,629687
1224646,405974
1225062,286265
1225476,271620
1225893,307966
1226309,352266
1226724,360576
1227139,319278
1227556,245567
1227972,173792
1228387,120343
1228803,89920
1229219,76774
1229635,71898
1230050,69324
1230466,68192
1230882,66705
1231298,67297
1231713,69479
1232129,72064
1232545,71782
1232960,66428
1233376,58616
1233792,52037
1234208,49150
1234623,51528
1235039,56987
1235455,61696
1235871,65711
1236286,67927
1236702,70418
1237118,73242
1237533,77037
1237949,80695
1238365,85755
1238781,93228
1239196,101600
1239612,108139
1240028,107747
1240444,105193
1240859,104352
1241275,106597
1241691,109390
1242106,109054
1242522,104712
1242937,103456
1243353,112336
1243769,139851
1244185,183899
1244601,234919
1245016,269165
1245432,275678
1245848,246566
1246264,199175
1246679,148608
1247095,109581
1247511,88196
1247927,84582
1248342,94441
1248758,113715
1249174,135578
1249590,149834
1250005,150238
1250421,138933
1250837,115397
1251252,91385
1251668,73103
1252084,62487
1252500,59638
1252915,62004
1253331,66356
1253747,71947
1254163,76035
1254578,79073
1254994,85299
1255410,106479
1255825,153361
1256241,238597
1256657,347046
1257073,441744
1257488,482224
1257904,453026
1258320,373026
1258736,288326
1259150,245599
1259567,228790
1259983,216826
1260399,199237
1260813,184589
1261230,176019
1261646,173119
1262061,165701
1262476,144391
1262892,114555
1263309,90100
1263724,79418
1264139,87006
1264555,119844
1264972,178543
1265387,254706
1265803,322983
1266218,357148
1266634,336425
1267050,278833
1267466,213094
1267882,169117
1268297,147165
1268713,137079
1269129,129129
1269545,119443
1269960,108947
1270376,99996
1270792,94363
1271207,92660
1271623,101241
1272039,124873
1272455,161877
1272870,203063
1273286,232122
1273702,230288
1274118,204390
1274533,157601
1274949,121035
1275365,104371
1275780,111150
1276196,135492
1276612,184033
1277028,262975
1277443,380705
